name,x98,x100,plateau,number passing trigger, trigger efficiency in % (from all events) 
Mchi-5p25_dMchi-0p5_1mm,159,245,0.9793483159708072,1081.0,0.4138844645920118
Mchi-6p0_dMchi-2p0_1mm,162,255,0.9907010152882373,877.0,0.30723311531576347
Mchi-52p5_dMchi-5_1mm,165,269,0.9945359990959403,11846.0,6.095502727179171
Mchi-60_dMchi-20_1mm,164,265,0.9831919415628116,12843.0,4.704567932891314
